1788.05.10|10-May-1788|AUSTRALIA|New South Wales|Sydney Harbor|Fishing|||No injury to occupants, shark bit oar and rudder||-33,85|151,2|B
1787.07.05|05-Jul-1787|St Helena||Landing Place|Swimming|M||FATAL||32,37|-80,62|D
1804.02.26|16-Feb-1804|AUSTRALIA|New South Wales|Georges Head, off Port Jackson||||||-33,85|151,2|B
1807.01.12|12-Jan-1807|AUSTRALIA|New South Wales|Cockle Bay, Sydney Harbour||M||Survived||-33,87|151,2|D
1817.05.11|11-May-1817|SRI LANKA||Colombo|Swimming|M|22|||6,93|79,85|D
1817.06.15|15-Jun-1817|INDIA|||Swimming|M||FATAL||20,59|78,96|D
1826.08.28|28-Aug-1826|CUBA|||HBM Magpie foundered in a squall|M||FATAL ||21,52|-77,78|
1828.09.28|28-Sep-1828|SIERRA LEONE|River Sierra Leone, 25 miles from Freetown|35 miles  upriver from Freetown|British ship, Britannia,  was loading lumber. He was bathing|M|17|Left arm severed 2.5" from elbow, groin, abdomen, right forearm & hand lacerated, flesh removed from thigh, baring femur. Both arms surgically amputated: left arm above elbow, right arm above wrist. Survived||8,48|-13,23|D
1829.12.07|07-Dec-1829|CARIBBEAN SEA|Between St. Bart's and Saba||Wreck of the schooner Driver|M||FATAL (both)||||
1830.04.30|30-Apr-1830|INDIA|Tamil Nadu|St. Thomé|Bathing|M||FATAL||8,82|78,15|D
1830.07.26|26-Jul-1830|USA|Massachusetts|Swampscott, Essex County|Fishing from dory, shark upset boat & he fell into the water|M|52|FATAL||42,47|-70,92|D
1835.01.06|06-Jan-1835|TASMAN SEA|35º39 : 165º8'|Alongside the whaler Marianne|Hooking into a whale|M||"Savagely bitten" but apparently survived||||D
1837.01.07|07-Jan-1837|AUSTRALIA|New South Wales|Macleay River||M|12|FATAL     Injured by shark, died of tetanus||-30,86|152,1|D
1839.04.14|14-Apr-1839|CUBA|Matanzas Province (north coast)|Matanzas|Sitting on gunwale of boat|M||FATAL|"a large shark"|23,05|-81,57|D
1839.11.17|17-Nov-1839|AUSTRALIA|New South Wales|||M||"Drowned, 2 days later his head was bitten off by a shark"||-31,25|146,92|Q
1841.03.28|28-Mar-1841|AUSTRALIA|New South Wales|Cockatoo Island, Sydney|Bathing|M||FATAL||-33,85|151,17|D
1842.04.05|05-Apr-1842|AUSTRALIA|New South Wales|Sydney Harbor (Estuary)|Unknown, but it was said to be the "First known attack in Sydney Harbour"|M||No details||-31,25|146,92|D
1844.05.24|24-May-1844|Coast of AFRICA|Island of St. Thomas||Fell overboard|M||FATAL, taken immediately by a shark ||||D
1844.07.20.|20-Jul-1844|NAMIBIA|||Boat capsized|M||FATAL||-22,96|18,49|D
1845.12.26|26-Dec-1845|AUSTRALIA|New South Wales|Newcastle |Fishing|M||FATAL||-32,92|151,75|D
1846.12.08|08-Dec-1846|MEXICO||Vera Cruz|Wreck of the USS Somers|M||FATAL, some were taken by sharks||19,17|-96,13|
1847.07.19|19-Jul-1847|GREECE|Corfu|Off the harbor wall at Mandrakina|Swimming|M||FATAL||39,62|19,92|D
1847.11.30|30-Nov-1847|AUSTRALIA|Queensland|Brisbane River|Swimming|M||Thigh & calf bitten||-27,59|152,83|D
1848.08.31|31-Aug-1848|USA|Maryland|Patapsco River|Swimming|M|15|Left leg severely bitten||39,29|-76,78|D
1849.01.27|27-Jan-1849|AUSTRALIA|New South Wales|Sydney|boat capsized|M||Torso bitten but may have been postmorem||-33,87|151,21|Q
1849.06.08.a|08-Jun-1849|USA|Florida|Pensacola, Escambia County|Bathing|F||FATAL||30,42|-87,22|D
1849.06.08.a|08-Jun-1849|USA|Florida|Pensacola, Escambia County|Attempting to rescue woman seized by shark|M||FATAL||30,42|-87,22|D
1849.09.19|19-Sep-1949|AUSTRALIA|Victoria|Warrnambool|Swimming|M||FATAL||-38,38|142,48|D
1849.12.01|01-Dec-1849|AUSTRALIA|New South Wales|Woolloomooloo, Sydney Harbor (Estuary)|Bathing|M||FATAL||-31,25|146,92|D
1849.12.09|09-Dec-1849|AUSTRALIA|New South Wales|Sydney Harbor||M||FATAL||-33,85|151,2|D
1852.02.26|26-Feb-1852|SOUTH AFRICA|Western Cape Province|Danger Point|Wreck of the steamship Birkenhead|M||FATAL. All of the women & children on board survived, but many of the 445 men that perished were taken by sharks|White sharks|-34,63|19,3|
1852.05.24|24-May-1852|SOUTH AFRICA|KZN|Durban Bay|Swimming from capsized boat|M||FATAL||-29,63|31,11|D
1852.08.07|07-Aug-1852|TONGA|||Fell overboard|M||FATAL||-21,18|-175,2|D
1853.11.08|08-Nov-1853|AUSTRALIA|||Swimming|M||Leg bitten||-25,27|133,78|D
1855.07.28|28-Jul-1855||||Bathing|M||FATAL||||D
1855.09.30|30-Sep-1855|USA|North Carolina|Cape Hatteras|Sea Disaster, ship William Penn grounded & broke apart|M||Foot bitten||35,22|-75,53|
1855.11.11|11-Nov-1855|AUSTRALIA|Victoria|Melbourne|Swimming|M||FATAL||-37,81|144,96|D
1856.02.06|06-Feb-1856|AUSTRALIA|Victoria|Point Hentry|Swimming|M|17|Sever bite to thigh||-38,18|144,42|D
1856.11.30|30-Nov-1856|||||M|22|FATAL||||D
1858.03.14|14-Mar-1858|AUSTRALIA|Victoria|Hobson Bay|Bathing|M|22|FATAL||-37,85|144,92|D
1860.03.11|11-Mar-1860|BAHAMAS|New Providence Island|Nassau|In boat being towed by ship, Karnak|M||FATAL|Remains recovered from shark caught days later|25,06|-77,35|D
